A	O
New	O
Method	O
for	O
Sentiment	B-RESEARCH_PROBLEM
Classification	E-RESEARCH_PROBLEM
in	O
Text	O
Retrieval	O
.	O

Pattern-Based	B-METHOD
Context-Free	I-METHOD
Grammars	E-METHOD
For	O
Machine	B-RESEARCH_PROBLEM
Translation	E-RESEARCH_PROBLEM
.	O

A	O
Memory-Based	S-METHOD
Approach	O
to	O
Learning	O
Shallow	B-RESEARCH_PROBLEM
Natural	I-RESEARCH_PROBLEM
Language	I-RESEARCH_PROBLEM
Patterns	E-RESEARCH_PROBLEM
.	O

The	O
infinite	B-METHOD
HMM	E-METHOD
for	O
unsupervised	S-METHOD
PoS	B-RESEARCH_PROBLEM
tagging	E-RESEARCH_PROBLEM
.	O

Semantic	B-RESEARCH_PROBLEM
Interpretation	E-RESEARCH_PROBLEM
Using	O
KL-One	S-METHOD
.	O

Name	B-RESEARCH_PROBLEM
Origin	I-RESEARCH_PROBLEM
Recognition	E-RESEARCH_PROBLEM
Using	O
Maximum	B-METHOD
Entropy	I-METHOD
Model	E-METHOD
and	O
Diverse	O
Features	O
.	O

An	O
Empirical	O
Study	O
on	O
Language	B-RESEARCH_PROBLEM
Model	I-RESEARCH_PROBLEM
Adaptation	E-RESEARCH_PROBLEM
Using	O
a	O
Metric	B-METHOD
of	I-METHOD
Domain	I-METHOD
Similarity	E-METHOD
.	O

Hierarchical	B-RESEARCH_PROBLEM
Clustering	I-RESEARCH_PROBLEM
Of	I-RESEARCH_PROBLEM
Words	E-RESEARCH_PROBLEM
And	O
Application	O
To	O
NLP	O
Tasks	O
.	O

Measuring	O
and	O
Predicting	O
Orthographic	B-METHOD
Associations	E-METHOD
:	O
Modelling	O
the	O
Similarity	B-RESEARCH_PROBLEM
of	I-RESEARCH_PROBLEM
Japanese	I-RESEARCH_PROBLEM
Kanji	E-RESEARCH_PROBLEM
.	O

A	O
Dynamical	S-METHOD
System	O
Approach	O
To	O
Continuous	B-RESEARCH_PROBLEM
Speech	I-RESEARCH_PROBLEM
Recognition	E-RESEARCH_PROBLEM
.	O

Systemic	B-RESEARCH_PROBLEM
Classification	E-RESEARCH_PROBLEM
And	O
Its	O
Efficiency	O
.	O

Unsupervised	S-METHOD
Concept	B-RESEARCH_PROBLEM
Discovery	E-RESEARCH_PROBLEM
In	O
Hebrew	O
Using	O
Simple	O
Unsupervised	B-METHOD
Word	I-METHOD
Prefix	I-METHOD
Segmentation	E-METHOD
for	O
Hebrew	O
and	O
Arabic	O
.	O

