Gated	O
-	O
Attention	O
Readers	O
for	O
Text	B-RESEARCH_PROBLEM
Comprehension	E-RESEARCH_PROBLEM

Large	B-RESEARCH_PROBLEM
-	I-RESEARCH_PROBLEM
scale	I-RESEARCH_PROBLEM
Simple	I-RESEARCH_PROBLEM
Question	I-RESEARCH_PROBLEM
Answering	E-RESEARCH_PROBLEM
with	O
Memory	O
Networks	O

Learning	O
to	O
Compose	O
Task	B-RESEARCH_PROBLEM
-	I-RESEARCH_PROBLEM
Specific	I-RESEARCH_PROBLEM
Tree	I-RESEARCH_PROBLEM
Structures	E-RESEARCH_PROBLEM

Dynamic	O
Integration	O
of	O
Background	O
Knowledge	O
in	O
Neural	B-RESEARCH_PROBLEM
NLU	E-RESEARCH_PROBLEM
Systems	O

Shortcut	O
-	O
Stacked	O
Sentence	O
Encoders	O
for	O
Multi-	B-RESEARCH_PROBLEM
Domain	I-RESEARCH_PROBLEM
Inference	E-RESEARCH_PROBLEM

Multi-range	O
Reasoning	O
for	O
Machine	B-RESEARCH_PROBLEM
Comprehension	E-RESEARCH_PROBLEM

CODAH	O
:	O
An	O
Adversarially	O
-	O
Authored	O
Question	B-RESEARCH_PROBLEM
Answering	E-RESEARCH_PROBLEM
Dataset	O
for	O
Common	O
Sense	O

Semantic	B-RESEARCH_PROBLEM
Sentence	I-RESEARCH_PROBLEM
Matching	E-RESEARCH_PROBLEM
with	O
Densely	O
-	O
connected	O
Recurrent	O
and	O
Co	O
-	O
attentive	O
Information	O

Reinforced	O
Mnemonic	O
Reader	O
for	O
Machine	B-RESEARCH_PROBLEM
Reading	I-RESEARCH_PROBLEM
Comprehension	E-RESEARCH_PROBLEM

Neural	B-RESEARCH_PROBLEM
Variational	I-RESEARCH_PROBLEM
Inference	E-RESEARCH_PROBLEM
for	O
Text	O
Processing	O
Phil	O
Blunsom	O
12	O

Distance	O
-	O
based	O
Self	O
-	O
Attention	O
Network	O
for	O
Natural	B-RESEARCH_PROBLEM
Language	I-RESEARCH_PROBLEM
Inference	E-RESEARCH_PROBLEM
