Improving	O
Deep-learning-based	O
Semi-supervised	O
Audio	B-RESEARCH_PROBLEM
Tagging	E-RESEARCH_PROBLEM
with	O
Mixup	S-METHOD

Progressive	O
Graph	B-METHOD
Convolutional	I-METHOD
Networks	E-METHOD
for	O
Semi-Supervised	O
Node	B-RESEARCH_PROBLEM
Classification	E-RESEARCH_PROBLEM

Convolution	S-METHOD
Neural	O
Network	O
Hyperparameter	B-RESEARCH_PROBLEM
Optimization	E-RESEARCH_PROBLEM
Using	O
Simplified	O
Swarm	O
Optimization	O

Fine-Tuning	O
BERT	S-METHOD
for	O
Schema-Guided	O
Zero-Shot	O
Dialogue	B-RESEARCH_PROBLEM
State	I-RESEARCH_PROBLEM
Tracking	E-RESEARCH_PROBLEM

Non-Local	O
Graph	B-METHOD
Convolutional	I-METHOD
Networks	E-METHOD
for	O
Skeleton-Based	O
Action	B-RESEARCH_PROBLEM
Recognition	E-RESEARCH_PROBLEM

Learning	O
to	O
Augment	O
for	O
Data-Scarce	O
Domain	O
BERT	S-METHOD
Knowledge	B-RESEARCH_PROBLEM
Distillation	E-RESEARCH_PROBLEM

Improved	O
YOLOv3	S-METHOD
Object	B-RESEARCH_PROBLEM
Classification	E-RESEARCH_PROBLEM
in	O
Intelligent	O
Transportation	O
System	O

Fine-grained	O
Visual	O
Textual	O
Alignment	O
for	O
Cross-Modal	B-RESEARCH_PROBLEM
Retrieval	E-RESEARCH_PROBLEM
using	O
Transformer	S-METHOD
Encoders	O

EA-LSTM	S-METHOD
:	O
Evolutionary	O
Attention-based	O
LSTM	S-METHOD
for	O
Time	B-RESEARCH_PROBLEM
Series	I-RESEARCH_PROBLEM
Prediction	E-RESEARCH_PROBLEM

Transductive	O
Zero-Shot	B-RESEARCH_PROBLEM
Learning	E-RESEARCH_PROBLEM
using	O
Cross-Modal	O
CycleGAN	S-METHOD

Adaptively	O
Multi-view	O
and	O
Temporal	O
Fusing	O
Transformer	S-METHOD
for	O
3D	B-RESEARCH_PROBLEM
Human	I-RESEARCH_PROBLEM
Pose	I-RESEARCH_PROBLEM
Estimation	E-RESEARCH_PROBLEM

Homophone-based	O
Label	B-METHOD
Smoothing	E-METHOD
in	O
End-to-End	O
Automatic	O
Speech	B-RESEARCH_PROBLEM
Recognition	E-RESEARCH_PROBLEM

A	O
PARTAN-Accelerated	O
Frank-Wolfe	O
Algorithm	O
for	O
Large-Scale	O
SVM	S-METHOD
Classification	S-RESEARCH_PROBLEM

Image-and-Spatial	O
Transformer	S-METHOD
Networks	O
for	O
Structure-Guided	O
Image	B-RESEARCH_PROBLEM
Registration	E-RESEARCH_PROBLEM

Gaussian	B-METHOD
Process	E-METHOD
Optimization	O
in	O
the	O
Bandit	O
Setting:	O
No	O
Regret	O
and	O
Experimental	B-RESEARCH_PROBLEM
Design	E-RESEARCH_PROBLEM

Analyzing	O
ELMo	S-METHOD
and	O
DistilBERT	S-METHOD
on	O
Socio-political	O
News	B-RESEARCH_PROBLEM
Classification	E-RESEARCH_PROBLEM

A	O
Hybrid	O
Residual	O
Dilated	O
LSTM	S-METHOD
end	O
Exponential	O
Smoothing	O
Model	O
for	O
Mid-Term	O
Electric	O
Load	B-RESEARCH_PROBLEM
Forecasting	E-RESEARCH_PROBLEM

BERT	S-METHOD
is	O
Not	O
an	O
Interlingua	O
and	O
the	O
Bias	O
of	O
Tokenization	S-RESEARCH_PROBLEM

Affinity	O
Mixup	S-METHOD
for	O
Weakly	O
Supervised	O
Sound	B-RESEARCH_PROBLEM
Event	I-RESEARCH_PROBLEM
Detection	E-RESEARCH_PROBLEM

Multi-Time-Scale	O
Convolution	S-METHOD
for	O
Emotion	B-RESEARCH_PROBLEM
Recognition	E-RESEARCH_PROBLEM
from	O
Speech	O
Audio	O
Signals	O

Rethinking	O
Weight	B-METHOD
Decay	E-METHOD
For	O
Efficient	O
Neural	O
Network	B-RESEARCH_PROBLEM
Pruning	E-RESEARCH_PROBLEM

Compressing	O
Facial	B-RESEARCH_PROBLEM
Makeup	I-RESEARCH_PROBLEM
Transfer	E-RESEARCH_PROBLEM
Networks	O
by	O
Collaborative	B-METHOD
Distillation	E-METHOD
and	O
Kernel	O
Decomposition	O

Phenotyping	O
of	O
Clinical	O
Time	B-RESEARCH_PROBLEM
Series	E-RESEARCH_PROBLEM
with	O
LSTM	S-METHOD
Recurrent	O
Neural	O
Networks	O

Transformer	S-METHOD
and	O
seq2seq	O
model	O
for	O
Paraphrase	B-RESEARCH_PROBLEM
Generation	E-RESEARCH_PROBLEM

Fully	O
Bayesian	O
Logistic	B-METHOD
Regression	E-METHOD
with	O
Hyper-Lasso	O
Priors	O
for	O
High-dimensional	O
Feature	B-RESEARCH_PROBLEM
Selection	E-RESEARCH_PROBLEM

IRlab@IITV	O
at	O
SemEval-2020	O
Task	O
12:	O
Multilingual	O
Offensive	O
Language	B-RESEARCH_PROBLEM
Identification	E-RESEARCH_PROBLEM
in	O
Social	O
Media	O
Using	O
SVM	S-METHOD

Hybrid	O
Micro/Macro	O
Level	O
Convolution	S-METHOD
for	O
Heterogeneous	O
Graph	B-RESEARCH_PROBLEM
Learning	E-RESEARCH_PROBLEM

Multi-Task	O
Triplet	B-METHOD
Loss	E-METHOD
for	O
Named	B-RESEARCH_PROBLEM
Entity	I-RESEARCH_PROBLEM
Recognition	E-RESEARCH_PROBLEM
using	O
Supplementary	O
Text	O

Block	O
Skim	O
Transformer	S-METHOD
for	O
Efficient	O
Question	B-RESEARCH_PROBLEM
Answering	E-RESEARCH_PROBLEM

Extending	O
Label	B-METHOD
Smoothing	E-METHOD
Regularization	O
with	O
Self-Knowledge	B-RESEARCH_PROBLEM
Distillation	E-RESEARCH_PROBLEM

S-AT	O
GCN:	O
Spatial-Attention	O
Graph	O
Convolution	S-METHOD
Network	O
based	O
Feature	O
Enhancement	O
for	O
3D	B-RESEARCH_PROBLEM
Object	I-RESEARCH_PROBLEM
Detection	E-RESEARCH_PROBLEM

HINet:	O
Half	O
Instance	B-METHOD
Normalization	E-METHOD
Network	O
for	O
Image	B-RESEARCH_PROBLEM
Restoration	E-RESEARCH_PROBLEM

End-to-end	O
Temporal	O
